,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,,Categorie LEGUME,Category VEGETABLES,,,,,,
,MANDY FOODS,Fasole alba bob mare,White big beans,1000 g,"27,-",,,,
,MANDY FOODS,Fasole alba bob mic,White fine beans,1000 g,"20,-",,,,
,,Categorie CONSERVE SI BORCANE,Category CANS AND JARS,,,,,,
,MANDY FOODS,Tocana de legume,vegetable stew (jar),300 g,"17,-",,5 941334 000654,,
,MANDY FOODS,Fasole cu costita afumata,Beans with smoked ribs (can),300 g,"20,-",,5 941334 000111,,
,MANDY FOODS,Fasole cu carnati afumati,Beans with smoked sausages (can),300 g,"20,-",,5 941334 000104,,
,MANDY FOODS,Fasole cu ciolan afumat,Beans with smoked bone (can),300 g,"20,-",,5 941334 000975,,
,SCANIA FOODS,Fasole batuta,Mashed beans,200 g ,"20,-",,5 941334 000784,,
,SCANIA FOODS,Rosii decojite,Pealed tomatoes (can),400 g,"10,-",,5 941334 007271,,
,SCANIA FOODS,Gem de caise,Apricot jam,300 g,"15,-",,5 941334 007431,,
,SCANIA FOODS,SADU – ciorba de burta,SADU – tripe soup (can),400 g,"25,-",,5 941341 010288,,
,CONSERVFRUCT,SADU - Carne de vita,SADU - Beef meat,300 g,"20,-",,5 941341 004492,,
,CONSERVFRUCT,SADU - Fasole cu costita afumata,SADU - Beans with smoked ribs ,300 g,"20,-",,5 941341 002252,,
,CONSERVFRUCT,SADU – tocanita de cartofi cu porc,SADU – potato stew with pork (can),300 g,"20,-",,5 941341 024964,,
,CEGUSTO,Leaustean in saramura,Lovage in brine (jar),300 g,"12,-",,5 941863 003089,,
,CEGUSTO,Muraturi asortate,Assorted pickles (big jar),1600 g,"40,-",,5 941863 002976,,
,CEGUSTO,Salata de varza rosie,Red cabbage salad (jar),680 g,"18,-",,5 941863 002211,,
