"""Глобал Фууд Къмпани""ЕООД","IZZI, Леща наслада","Lentil delight ""Izzi""",1 kg.,25.00,3800053100200,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Леща наслада","Lentil delight ""Izzi""",500 g.,15.00,3800053100200,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Наслада българска леща","Lentil delight, bulgarian ""Izzi""","2, 5 kg.",59.00,3800053100286,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Вяра 2001"" ООД, Шумен","Krina, Леща българска","Bulgarian lens ""Krina""",500 g.,15.00,3800106402091,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Спринк""ЕООД, Велико Търново","Мелница Търново, Бяло Брашно Тип 500","White flour ""Mill Tarnovo"", type 500",1 kg.,11.00,3800083600046,FLOUR,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бяло Пшенично Брашно Тип 500","White wheat flour ""Izzi"", type 500",1 kg.,11.00,3800053101009,FLOUR,,,
"""Амброзия България"" ЕООД",Пчелен мед Букет,"Honey , Mixed ",900g.,70.00,,HONEY/ JAM,,,
"""Амброзия България"" ЕООД",Пчелен мед Акация,"Honey , Acacia",900g.,90.00,,HONEY/ JAM,,,
"""Амброзия България"" ЕООД",Пчелен мед Липа,"Honey , Linden",900g.,80.00,,HONEY/ JAM,,,
"""Амброзия България"" ЕООД",Пчелен мед Магарешки бодил,"Honey , Thistle",900g.,80.00,,HONEY/ JAM,,,
"""Амброзия България"" ЕООД","Пчелен мед Горски , 50% Манов ","Honey , Forrest , 50 Honeydew",900g.,80.00,,HONEY/ JAM,,,
Deroni Ltd.,Сладко Горски плодове,Jam with sweet berries,300 g.,20.00,3800740018467,HONEY/ JAM,,,
"""Цима 99"" ООД, Стряма ","Cima 99, Classic Preserve Strawberry","Jam ""Cima 99"" with stawverry",300 g.,20.00,3800040801608,HONEY/ JAM,,,
"""Цима 99"" ООД, Стряма ","Cima 99, Blueberry, Боровинка","Jam ""Cima 99"" with blueberry",300 g. ,20.00,3800040801622,HONEY/ JAM,,,
"""Цима 99"" ООД, Стряма ","Cima 99, Forest Fruits, Горски плодове","Jam ""Cima 99"" with forest fruits",300 g.,20.00,3800040801622,HONEY/ JAM,,,
